State,Oranges,Grapefruit 1,Lemons,Tangerines & mandarins 2,Total citrus fruit,Apples,Apricots,Avocados,Bananas,Blackberries,Blueberries,Boysenberries,Raspberries,Sweet cherries,Tart cherries,Cranberries,Dates,Figs,Grapes,Kiwifruit,Nectarines,Olives,Papayas,Peaches,Pears,Prunes & Plums,Strawberries,Total noncitrus fruit,Almonds,Hazelnuts,Macadamia,Pecans,Pistachios,Walnuts,Total tree nuts,Total fruit & tree nuts,Share of U.S. fruit & tree nuts
 Oklahoma , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 14,884 ", - , - ," 14,884 "," 14,884 ", 0.1 
 Oregon , - , - , - , - , - ," 55,180 ", - , - , - ,," 180,730 ",,," 70,835 ", - ," 14,028 ", - , - ,, - , - , - , - , - ," 140,966 ", - ," 11,687 "," 473,426 ", - ," 91,800 ", - , - , - , - ," 91,800 "," 565,226 ", 1.9 
 Pennsylvania , - , - , - , - , - ," 107,637 ", - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - ," 20,670 ", - , - , - ," 128,307 ", - , - , - , - , - , - , - ," 128,307 ", 0.4 
 Rhode Island , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 South Carolina , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 17,546 ", - , - , - ," 17,546 ", - , - , - , - , - , - , - ," 17,546 ", 0.1 
 Tennessee , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Texas ," 35,538 "," 65,080 ", - , - ," 100,618 ", - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - ,, - , - , - , - , - , - , - ," 56,064 ", - , - ," 56,064 "," 156,682 ", 0.5 
 Utah , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 9,102 ", - , - , - , - , - , - , - , - ,, - , - , - ," 9,102 ", - , - , - , - , - , - , - ," 9,102 ", 0.0 
 Vermont , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Virginia , - , - , - , - , - ," 37,256 ", - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - ,, - , - , - ," 37,256 ", - , - , - , - , - , - , - ," 37,256 ", 0.1 
 Washington , - , - , - , - , - ," 2,185,875 "," 7,800 ", - , - , - ," 139,177 ", - ," 35,913 "," 426,470 ", D ,, - , - ," 360,910 ", - ,, - , - ," 9,099 "," 210,630 ", - ," 9,167 "," 3,385,041 ", - , - , - , - , - , - , - ," 3,385,041 ", 11.5 
 West Virginia , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Wisconsin , - , - , - , - , - ,, - , - , - , - , - , - , - , - ," 1,928 "," 142,664 ", - , - , - , - , - , - , - , - , - , - , - ," 144,592 ", - , - , - , - , - , - , - ," 144,592 ", 0.5 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 United States ," 1,830,445 "," 207,970 "," 715,761 "," 575,976 "," 3,330,152 "," 3,013,713 "," 39,370 "," 400,354 ",,," 797,295 ",," 367,001 "," 637,700 "," 56,635 "," 222,440 "," 152,175 ",," 6,615,121 "," 32,886 "," 104,626 "," 40,523 "," 5,702 "," 511,226 "," 428,940 "," 287,402 "," 2,670,523 "," 16,466,042 "," 5,468,040 "," 91,800 "," 42,007 "," 425,331 "," 2,615,550 "," 878,800 "," 9,521,528 "," 29,317,722 ", 99.8 
