Year,Oranges_all,Grapes_all,Apples_all,Bananas_fresh,Melons,Oranges_prop,Grapes_prop,Apples_prop,Bananas_prop,Melons_prop
1976,102.1,40.6,29.9,19.3,18.8,0.3615439093484419,0.14376770538243624,0.10587818696883851,0.068342776203966,0.06657223796033994
1977,110.6,37.9,31.5,19.2,19.3,0.3741542625169147,0.12821380243572394,0.10656292286874153,0.06495263870094722,0.06529093369418132
1978,91.8,41.3,35.9,20.2,20.1,0.3178670360110803,0.14300554016620498,0.12430747922437672,0.06994459833795014,0.0695983379501385
1979,86.1,42.2,36.1,21.0,19.2,0.30838108882521487,0.1511461318051576,0.129297994269341,0.07521489971346705,0.06876790830945559
1980,95.3,47.2,39.8,20.8,18.0,0.3214165261382799,0.15919055649241148,0.1342327150084317,0.07015177065767285,0.06070826306913996
1981,95.2,41.2,34.6,21.5,19.4,0.32941176470588235,0.142560553633218,0.11972318339100346,0.07439446366782007,0.0671280276816609
1982,86.7,51.2,39.7,22.5,22.3,0.2927076299797434,0.17285617825793384,0.13403106009453072,0.07596218771100607,0.07528696826468603
1983,106.1,44.6,41.6,21.3,19.8,0.34661875204181636,0.14570401829467494,0.13590329957530217,0.06958510290754655,0.06468474354786018
1984,92.1,48.2,44.3,22.2,24.1,0.3109385550303848,0.162727886563133,0.14956110735989192,0.07494935854152598,0.0813639432815665
1985,90.0,50.5,43.2,23.5,24.3,0.2987056090275473,0.1676070361765682,0.1433786923332227,0.07799535346830401,0.08065051443743777
1986,95.9,47.6,43.1,25.8,24.9,0.31166720831979206,0.1546961325966851,0.1400714982125447,0.08384790380240495,0.08092297692557686
1987,90.8,44.9,48.2,25.0,24.7,0.2913057427013154,0.14404876483798523,0.15463586782162336,0.08020532563362208,0.0792428617260186
1988,86.3,49.4,47.3,24.3,24.0,0.2865205843293493,0.1640106241699867,0.15703851261620186,0.0806772908366534,0.0796812749003984
1989,86.0,46.2,46.6,24.7,26.9,0.2811376266753841,0.15102974828375287,0.1523373651520105,0.08074534161490683,0.08793723439032364
1990,67.1,43.2,47.9,24.4,24.8,0.23477956613016093,0.15115465360391883,0.1675997200839748,0.08537438768369489,0.0867739678096571
1991,81.9,42.9,43.6,25.0,23.6,0.281636863823934,0.14752407152682254,0.1499312242090784,0.08596973865199449,0.08115543328748281
