Crop,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grapefruit, all ",19.7,22.1,24.4,21.4,17.5,19.7,19.4,19.4,12.2,16.6,14.6,17.9,12.8,16.3,19.2,14.4,12.5,14.7,16.2,15.8,15.1,15.2,15.6,14.6,13.2,13.2,11.6,10.1,10.1,6.3,5.5,7.2,7.4,6.6,6,6.3,5.1,5.7,5.1,4.5,3.8,3.6,3
  Fresh,9.3,7.7,8.3,7.3,7.3,6.7,7.2,7.8,6,5.5,6.1,6.3,6.7,6.6,4.6,5.9,5.9,6.2,6.1,6,5.8,6.2,5.9,5.8,5.1,4.8,4.6,4.1,4.1,2.6,2.3,2.8,3.2,2.8,2.8,2.7,2.4,2.6,2.4,2.2,2,1.9,1.6
  Juice,10.4,14.4,16,14.1,10.2,13,12.2,11.5,6.2,11.1,8.5,11.5,6.1,9.7,14.7,8.6,6.6,8.5,10.1,9.8,9.2,9,9.7,8.9,8.1,8.4,7,6,6,3.6,3.2,4.3,4.2,3.8,3.2,3.5,2.7,3.1,2.7,2.2,1.9,1.7,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lemons, all ",4.3,6.7,7,4.6,5.3,8.6,6.8,6.7,5.2,6.2,5.3,7.9,5.2,5.2,6.2,6.1,5.7,7,7.4,6,6.9,7,6.8,5.6,6.3,8.2,6.6,8.7,6.5,7.2,7.9,6.4,5.2,7.3,6.7,8.6,7.9,8,7.2,8.8,9.2,9.8,9.4
  Fresh,1.9,2.2,2.2,2,1.9,2,2.1,2.3,2.2,2.3,2.5,2.5,2.5,2.4,2.6,2.6,2.5,2.6,2.7,2.8,2.9,2.8,2.5,2.6,2.4,3,3.3,3.3,3.1,2.9,4.1,2.8,2,3.1,2.8,3.5,3.9,3.5,3.4,3.6,4.2,4.3,4.2
  Juice,2.4,4.5,4.8,2.6,3.4,6.6,4.7,4.4,3.1,3.9,2.8,5.4,2.7,2.8,3.6,3.5,3.2,4.4,4.7,3.2,4,4.2,4.3,3,3.9,5.2,3.3,5.4,3.4,4.2,3.8,3.6,3.2,4.2,4,5.1,4,4.6,3.7,5.2,5,5.5,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other citrus, all 3",4.9,4.8,4.3,4.3,5.5,4.6,4.5,4.2,3.9,3.6,3.6,4.2,4.1,4.2,3.7,3.6,4.4,4.1,4.7,4.9,4.8,6.2,5.3,5.1,6.4,6,5.3,6,6.3,6.1,6.9,6.4,7.6,7.6,8.3,8.8,9,9.4,9.9,10.7,11.6,12.7,12.2
  Fresh,2.6,2.9,2.3,2.3,2.5,2.4,2.3,2.4,2.3,1.9,2.1,2.3,2.3,2.4,2,2.1,3,2.8,3.1,3.2,3.3,3.7,3.6,3.6,4.3,4.2,3.7,4.5,4.6,4.6,4.9,4.8,5.6,5.7,6.3,6.7,6.7,7.5,8.1,8.2,8.8,9.6,10
  Juice,2.2,1.9,2,2,3,2.2,2.2,1.8,1.6,1.7,1.5,2,1.7,1.8,1.7,1.4,1.4,1.3,1.7,1.8,1.5,2.5,1.7,1.4,2.1,1.8,1.7,1.5,1.6,1.5,2,1.6,2,1.9,2,2.2,2.2,1.9,1.9,2.5,2.8,3.1,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peaches, all  4 5",11.2,11.5,11.9,12.5,13.1,11.7,10,9.4,11,9.9,10.6,10.3,11.3,10.6,9.8,10.9,10.8,10.2,10,8.9,8.6,10,8.7,9.4,9.9,9.4,9.7,9.3,9.4,8.9,8.1,8.9,8.8,8.4,8.4,7.7,7.1,6.4,6.4,6.2,5.8,5.3,4.6
  Fresh,5.1,5.1,6.1,6.7,7.1,6.9,5.3,5.4,6.7,5.5,5.8,6,6.7,5.9,5.5,6.4,6,5.8,5.4,5.3,4.4,5.5,4.7,5.3,5.3,5.2,5.2,5.2,5.1,4.8,4.6,4.5,5.1,4.4,4.7,4.5,3.9,3,3.2,2.9,2.7,2.7,2.2
  Canning,5.9,6.1,5.5,5.6,5.7,4.6,4.4,3.6,4,3.9,4.2,4,4.1,4.2,3.8,4,4.3,4,4,3,3.7,4.1,3.5,3.6,3.8,3.5,3.8,3.3,3.6,3.3,2.9,3.5,3,3.3,3,2.6,2.6,2.7,2.6,2.7,2.5,2.3,1.9
  Freezing,0.2,0.4,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.5,0.5,0.3,0.4,0.6,0.4,0.5,0.5,0.4,0.6,0.6,0.5,0.5,0.5,0.6,0.8,0.7,0.7,0.8,0.7,0.7,0.6,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pears, all  5",7.1,6.8,6.1,6.9,7.2,7.2,6.9,6.6,5.7,6,6.4,7.4,6.7,7,7.1,6.6,6.8,6.7,7.1,6.3,5.9,6.8,6.7,6.9,6.2,6.2,5.7,5.7,5.5,5.2,5.6,5,5.4,5.6,4.9,5.4,4.8,4.9,4.8,4.7,4.3,4.4,4.6
  Fresh,2.8,2.4,2.3,2.3,2.6,2.8,2.8,3,2.5,2.8,3,3.5,3.2,3.3,3.2,3.1,3.1,3.3,3.4,3.4,3.1,3.4,3.4,3.5,3.4,3.3,3.1,3.1,3,2.9,3.2,2.7,3.1,3.2,2.9,3.2,2.8,2.8,2.9,2.7,2.8,2.7,2.9
  Canning,4.3,4.5,3.8,4.6,4.6,4.4,4.1,3.6,3.2,3.2,3.4,3.9,3.5,3.7,3.9,3.4,3.7,3.4,3.7,3,2.8,3.4,3.3,3.4,2.8,3,2.6,2.7,2.5,2.3,2.4,2.3,2.2,2.4,1.9,2.2,2,2,2,2,1.6,1.7,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cherries, all",1.7,1.6,1.4,1.5,1.6,1.3,1.6,1.6,1.7,1.4,1.5,2,1.6,1.6,1.6,1.3,1.5,1.5,1.6,1.3,1.3,1.5,1.7,1.5,1.5,1.6,1.2,1.7,1.8,1.7,2,2.1,2.2,2.5,2.1,2.1,2.3,1.6,2.1,2.1,2.1,2.3,2.1
  Fresh,0.8,0.6,0.5,0.7,0.7,0.5,0.5,0.7,0.7,0.4,0.5,0.7,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.3,0.4,0.6,0.5,0.6,0.6,0.8,0.7,0.9,1,0.9,1.1,1.2,1.3,1.6,1.3,1.3,1.5,1,1.2,1.1,1.2,1.5,1.3
  Canning,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1
  Freezing,0.7,0.7,0.7,0.6,0.5,0.5,0.7,0.7,0.7,0.7,0.8,1,0.8,0.8,0.9,0.7,0.6,0.8,0.7,0.7,0.7,0.6,0.8,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.8,0.8,0.7,0.8,0.8,0.7,0.7,0.5,0.8,0.9,0.9,0.8,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberries,2.8,3,3.3,3,3.2,3.3,3.4,3.4,4,4,4,4.3,4.5,4.5,4.4,4.8,4.8,4.8,5.2,5.4,5.6,5.2,5.2,5.8,6.3,5.8,6.1,6.9,7,7.7,8,8,8.2,8.7,9.2,9,9.8,9.8,9.9,9.6,9.2,8.6,8.9
  Fresh,1.7,1.9,2.1,1.9,2,2.2,2.4,2.3,3,3,2.9,3.1,3.3,3.3,3.2,3.6,3.6,3.6,4,4.1,4.3,4.1,3.9,4.6,4.9,4.2,4.6,5.3,5.5,5.8,6.1,6.3,6.4,7.2,7.2,7.4,8,8,8,7.7,7.4,6.8,7.1
  Freezing,1.1,1.1,1.2,1.1,1.2,1.2,1.1,1.1,1.1,1,1.1,1.1,1.2,1.2,1.1,1.2,1.2,1.2,1.1,1.3,1.3,1.1,1.2,1.2,1.4,1.6,1.4,1.7,1.5,1.9,1.9,1.7,1.8,1.5,1.9,1.6,1.8,1.7,1.9,1.9,1.8,1.8,1.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pineapples, all",10.3,10.9,10.8,12,12.1,11.3,11.5,11.4,10.6,12.2,13.7,13.2,13.2,14.2,14.7,14.7,15.2,13.8,12.6,12.4,12.3,12.1,10.9,13.1,12.6,12.2,13.1,14.2,12.9,13.5,14,12.6,13.5,13.3,12.8,13.1,13.6,13.9,14,13.9,14.1,14.4,13.1
  Fresh,1.1,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.5,1.5,1.7,1.6,1.8,2,2,1.9,2,2,2,1.9,1.9,2.3,2.8,3,3.2,3.2,3.8,4.4,4.4,4.9,5.2,5,5.1,5.1,5.7,5.7,6.4,6.7,7.2,7,7.3,7.8,7.8
  Canning,6,6,5.7,6.3,6,5.5,5.5,5.5,5,5.7,6.1,5.2,5.1,5.5,5.2,5.3,6.1,5.6,5.4,4.7,4.7,4.6,3.9,5.2,4.8,4.4,4.5,4.7,4.5,4.8,4.8,4.3,4.4,4.1,3.9,4,3.9,4,3.7,3.9,3.7,3.6,3.4
  Juice,3.1,3.6,3.7,4.3,4.6,4.2,4.3,4.2,4.1,5.1,5.9,6.4,6.4,6.6,7.5,7.5,7.1,6.2,5.2,5.7,5.7,5.2,4.3,4.9,4.5,4.7,4.8,5,4,3.9,4,3.2,4,4,3.2,3.4,3.2,3.1,3.2,3,3.1,3,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olives, canned ",1,1.1,1.8,0.9,1.3,0.8,1.4,1,1.2,1.3,1.4,1.3,1.2,1.3,1.3,0.8,1.6,1.3,0.9,0.9,1.5,1.1,1,1.4,0.9,1.5,1.3,1.4,1.3,1.5,0.8,1.4,1,0.9,1.7,0.9,1.2,1.2,0.9,1.1,1,1.2,0.8
"Avocados, fresh ",1.2,1.1,1.3,0.8,2.1,1.6,1.8,2.2,1.8,1.5,2.4,1.6,1.6,1.1,1.4,1.4,2.2,1.3,1.4,1.6,1.6,1.7,1.5,1.9,2.2,2.4,2.4,2.7,3.2,3.5,3.5,3.5,3.8,4.3,4,5.1,5.6,6.1,7,7.2,6.9,8,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other noncitrus, all",7.6,7.5,7.2,6.8,6.7,7.1,6.5,6.8,7.9,7.1,6.9,8,7.8,9.4,9.1,9.1,9.7,9.4,10.8,9.2,10.1,10.6,10.5,10.5,10.7,10.6,10.9,11.6,11.2,11.2,11.5,11.6,11.8,11.8,12.4,13,12.7,13.8,13.6,14.8,15.3,15.1,15.1
  Fresh 6,1.9,2.2,2.3,2.2,2.4,2.6,2,2.5,3.2,2.8,2.6,3.3,3.1,2.9,3.1,3.1,3.7,3.5,3.9,3.5,4.3,4.5,4.2,4.6,4.8,5,5,5.3,5.5,5.1,5.6,5.7,5.7,5.9,6.2,6.8,6.4,7,7.2,7.8,8.4,8.7,8.6
